African Country,Bi-lateral Partner Countries,Source 1,Source 2
Benin,Norway,Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
Ethiopia,Japan,Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
Gabon,South Korea,ORF Online Carbon Trading Research,UNFCCC Article 6.2 Framework
Ghana,"Switzerland, Singapore, Sweden",Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
Kenya,"Japan, Singapore, Switzerland",Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
Rwanda,"Singapore, Sweden, Kuwait",Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
Senegal,Singapore,ORF Online Carbon Trading Research,UNFCCC Article 6.2 Framework
Zambia,"Norway, Sweden, Singapore",Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
Zimbabwe,United Arab Emirates (via Blue Carbon),Gold Standard Carbon Market Regulations Tracker,UNFCCC Article 6.2 Framework
