Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
02 Taksi Oy,Transportation/ Taxi Services,Transportation/Logistics,Finland,Europe,253,0.00%,253,0.00%,,,,253,,,1,253,0,253,0.00%
100% Renewables,Energy and sustainability sector,Energy/Mining/Utilities,Australia,Oceania,269,0.00%,269,0.00%,,,,,75,194,1,135,269,0,100.00%
11er Nahrungsmittel GmbH,Food and Beverage industry,Food and Beverage,Germany,Europe,"2,703",0.00%,"2,500",0.00%,"1,000","1,000",,500,,,3,833,0,"2,703",0.00%
11th Hour Racing,Entertainment industry,Entertainment/Media/Sports,United States,North America,23,0.00%,23,0.00%,23,,,,,,1,23,0,23,0.00%
17 Capital Services Ltd,Financial Services,Financial Services,United Kingdom,Europe,101,0.00%,101,0.00%,,,,,,101,0,101,101,0,100.00%
17 Sport,Sportswear/Apparel,Apparel/Fashion,Germany,Europe,496,0.00%,496,0.00%,,,,,332,164,1,248,496,0,100.00%
2025 US Open Tennis Championships,Sports,Entertainment/Media/Sports,United States,North America,"2,040",0.00%,"2,040",0.00%,,,,,,"2,040",0,"2,040","2,040",0,100.00%
2050 Consulting AB,Consulting Services,Consulting Services,Sweden,Europe,"4,837",0.01%,"4,837",0.01%,,,"2,426",,"2,411",,2,"2,419","2,411","2,426",49.84%
"2099 Productions NY, LLC",Entertainment industry,Entertainment/Media/Sports,United States,North America,831,0.00%,831,0.00%,,,,,831,,1,831,831,0,100.00%
20th Century Studios,Entertainment industry,Entertainment/Media/Sports,United States,North America,266,0.00%,266,0.00%,,,,225,41,,2,133,41,225,15.41%
21 Construction,Construction,Construction/Engineering,Singapore,Asia,"1,671",0.00%,"1,671",0.00%,,,"1,671",,,,1,"1,671",0,"1,671",0.00%
23 Degrees Coffee,Food and Beverage industry,Food and Beverage,United States,North America,30,0.00%,30,0.00%,,,,30,,,1,30,0,30,0.00%
2B Scientific,Medical Devices,Healthcare/Pharmaceuticals,United Kingdom,Europe,92,0.00%,92,0.00%,,,,48,,44,1,46,44,48,47.83%
2do Marketing Services GmbH,Marketing Services,Advertising/Marketing/PR,Germany,Europe,80,0.00%,80,0.00%,,,80,,,,1,80,0,80,0.00%
2i Rete Gas,Energy/Utilities,Energy/Mining/Utilities,Italy,Europe,"14,515",0.02%,"14,515",0.02%,,,,,410,"14,105",1,"7,258","14,515",0,100.00%
2SPL,Legal services,Consulting Services,Germany,Europe,95,0.00%,95,0.00%,,,,,95,,1,95,95,0,100.00%
30 Seconds Limited,Advertising/Marketing/PR,Advertising/Marketing/PR,New Zealand,Oceania,"3,624",0.00%,"3,624",0.01%,,,,,"3,624",,1,"3,624","3,624",0,100.00%
3Degrees,Energy and sustainability sector,Energy/Mining/Utilities,United States,North America,476,0.00%,476,0.00%,,,,,476,,1,476,476,0,100.00%
3E Group,Consulting or technology sector,Consulting Services,United States,North America,500,0.00%,500,0.00%,,,,,500,,1,500,500,0,100.00%
3R Group Limited,Waste management and recycling industry,Agriculture/Agribusiness/Resources,New Zealand,Oceania,629,0.00%,629,0.00%,,,210,,300,119,2,210,419,210,66.61%
4AIR,Travel & Tourism,Travel & Tourism,France,Europe,"126,010",0.17%,"126,010",0.19%,,,,"19,643","5,860","100,507",2,"42,003","106,367","19,643",84.41%
4C,Certification Services,Consulting Services,Germany,Europe,13,0.00%,13,0.00%,,,,13,,,1,13,0,13,0.00%
4G Systems GmbH,Technology/Telecommunications,Technology/Telecommunications,Germany,Europe,775,0.00%,775,0.00%,,,775,,,,1,775,0,775,0.00%
4T Medical,Medical Devices,Healthcare/Pharmaceuticals,United Kingdom,Europe,83,0.00%,83,0.00%,,,,,83,,1,83,83,0,100.00%
667 Technology GmbH,Technology,Technology/Telecommunications,Germany,Europe,767,0.00%,767,0.00%,,767,,,,,1,767,0,767,0.00%
7-Eleven,Convenience store industry,Retail,Japan,Asia,32,0.00%,32,0.00%,,,,,,32,0,32,32,0,100.00%
A Days March,Fashion/Apparel,Apparel/Fashion,Sweden,Europe,"1,744",0.00%,"1,744",0.00%,,378,764,602,,,3,581,0,"1,744",0.00%
A.E.S Engineering,Engineering,Construction/Engineering,United States,North America,500,0.00%,500,0.00%,,,,500,,,1,500,0,500,0.00%
A2C Services Ltd,Services/Consulting industry,Consulting Services,United Kingdom,Europe,837,0.00%,837,0.00%,,,837,,,,1,837,0,837,0.00%
AA Salt Services Ltd,Salt services,Others,United Kingdom,Europe,40,0.00%,40,0.00%,,,,,,40,0,40,40,0,100.00%
AAC,Aerospace and Defense,Manufacturing/Engineering,United States,North America,"50,000",0.07%,"50,000",0.08%,,,,,,"50,000",0,"50,000","50,000",0,100.00%
AAM Commercial,Commercial Services,Consulting Services,United States,North America,300,0.00%,300,0.00%,,,,,,300,0,300,300,0,100.00%
AB KE Petterssons Handelsträdgårdar,Agriculture/ Gardening/ Landscaping,Agriculture/Agribusiness/Resources,Sweden,Europe,612,0.00%,612,0.00%,612,,,,,,1,612,0,612,0.00%
ABAB Accountants en Adviseurs,Accounting Services,Consulting Services,Netherlands,Europe,"3,096",0.00%,"1,848",0.00%,383,,848,617,,,3,616,0,"3,096",0.00%
ABAX Group,Technology/Software,Technology/Telecommunications,Norway,Europe,"1,064",0.00%,"1,064",0.00%,,,181,176,707,,3,355,707,357,66.45%
ABB,Technology/Electronics,Technology/Telecommunications,Switzerland,Europe,"31,537",0.04%,"31,537",0.05%,,"15,446",,,"15,921",170,2,"10,512","16,091","15,446",51.02%
Abbey,Financial Services,Financial Services,United Kingdom,Europe,959,0.00%,959,0.00%,,,,,,959,0,959,959,0,100.00%
Aberdeen International Airport,Travel & Transportation,Transportation/Logistics,United Kingdom,Europe,"2,527",0.00%,"2,527",0.00%,,"1,590",937,,,,2,"1,264",0,"2,527",0.00%
ABF,Technical Services,Others,Mexico,North America,32,0.00%,32,0.00%,,,,,32,,1,32,32,0,100.00%
ABI,Beverages,Food and Beverage,Nigeria,Africa,"1,125",0.00%,"1,125",0.00%,,,,,,"1,125",0,"1,125","1,125",0,100.00%
Ablasswandel,Retail,Retail,Germany,Europe,61,0.00%,61,0.00%,,,40,,21,,2,31,21,40,34.43%
Abley,Construction,Construction/Engineering,United Kingdom,Europe,54,0.00%,54,0.00%,,,,54,,,1,54,0,54,0.00%
ABRA-SAX,Software,Technology/Telecommunications,Germany,Europe,28,0.00%,28,0.00%,,,28,,,,1,28,0,28,0.00%
Abstracta,Furniture or interior design industry,Retail,Sweden,Europe,456,0.00%,456,0.00%,,,,120,336,,2,228,336,120,73.68%
AC ter Kuile,Agriculture,Agriculture/Agribusiness/Resources,Netherlands,Europe,64,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,64,0.00%
ACADEMIA,Education,Others,United States,North America,560,0.00%,560,0.00%,,,,,,560,0,560,560,0,100.00%
Academy of Medical Sciences,Healthcare,Healthcare/Pharmaceuticals,United Kingdom,Europe,235,0.00%,235,0.00%,,,,,,235,0,235,235,0,100.00%
Accelya,Technology/Software,Technology/Telecommunications,India,Asia,"3,434",0.00%,"3,434",0.01%,,,,,"3,434",,1,"3,434","3,434",0,100.00%
Accordia,Real Estate,Entertainment/Media/Sports,Japan,Asia,25,0.00%,25,0.00%,,,,,,25,0,25,25,0,100.00%
AccuRx,Healthcare Technology,Healthcare/Pharmaceuticals,United Kingdom,Europe,879,0.00%,879,0.00%,,,20,280,405,174,3,220,579,300,65.87%
Ace Natural,Food and beverage industry,Food and Beverage,United States,North America,458,0.00%,458,0.00%,,458,,,,,1,458,0,458,0.00%
Ace Winches,Industrial Equipment/Manufacturing,Construction/Engineering,United Kingdom,Europe,"1,810",0.00%,"1,810",0.00%,,,,,782,"1,028",1,905,"1,810",0,100.00%
Acer,Technology,Technology/Telecommunications,Taiwan,Asia,83,0.00%,83,0.00%,,,,,,83,0,83,83,0,100.00%
ACETUM,Food & Beverage,Food and Beverage,Italy,Europe,329,0.00%,329,0.00%,,,,,329,,1,329,329,0,100.00%
ACH - Agency for Co-operative Housing,Real Estate,Entertainment/Media/Sports,Canada,North America,127,0.00%,127,0.00%,,,,,,127,0,127,127,0,100.00%
Achmea,Insurance,Financial Services,Netherlands,Europe,"7,566",0.01%,"7,566",0.01%,,,,,,"7,566",0,"7,566","7,566",0,100.00%
Aclymate,Software,Technology/Telecommunications,United States,North America,158,0.00%,158,0.00%,,,,,,158,0,158,158,0,100.00%
Acropolis Aviation,Aviation/Aerospace,Transportation/Logistics,United Kingdom,Europe,"6,815",0.01%,"6,815",0.01%,,,"1,407","3,408","2,000",,3,"2,272","2,000","4,815",29.35%
ACS International Schools,Education,Non-profit/Charity/Government/NGO,United Kingdom,Europe,418,0.00%,308,0.00%,,,200,108,,,2,154,0,418,0.00%
ACS Private Jet,Private Aviation,Transportation/Logistics,United States,North America,100,0.00%,100,0.00%,,,,100,,,1,100,0,100,0.00%
ACT Financial Solutions,Finance/Financial Services,Financial Services,India,Asia,"70,214",0.09%,"70,214",0.11%,,,"70,214",,,,1,"70,214",0,"70,214",0.00%
Acterience,Management Consulting,Consulting Services,Germany,Europe,93,0.00%,93,0.00%,,,,,,93,0,93,93,0,100.00%
ActewAGL,Utilities,Energy/Mining/Utilities,Australia,Oceania,688,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,688,0.00%
Action Sustainability,Sustainability Consulting,Environmental & Sustainability Services,United Kingdom,Europe,60,0.00%,60,0.00%,,,60,,,,1,60,0,60,0.00%
Action Together,Non-profit/Charity,Non-profit/Charity/Government/NGO,United Kingdom,Europe,132,0.00%,132,0.00%,,,132,,,,1,132,0,132,0.00%
Actis,Finance/Investment Banking,Financial Services,United Kingdom,Europe,227,0.00%,227,0.00%,,,,227,,,1,227,0,227,0.00%
Active,Retail,Retail,United Kingdom,Europe,23,0.00%,23,0.00%,,,,,23,,1,23,23,0,100.00%
ActNow,Health and wellness,Healthcare/Pharmaceuticals,United States,North America,200,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,200,0.00%
ADA,Accessibility Consulting,Consulting Services,Czech Republic,Europe,64,0.00%,64,0.00%,,,,,64,,1,64,64,0,100.00%
ADA Cosmetics,Cosmetics and Personal Care,Retail,Germany,Europe,343,0.00%,343,0.00%,,,,,23,320,1,172,343,0,100.00%
Adamantem,Finance/Investment,Financial Services,Australia,Oceania,108,0.00%,108,0.00%,,108,,,,,1,108,0,108,0.00%
Adapro,Software,Technology/Telecommunications,India,Asia,40,0.00%,40,0.00%,,40,,,,,1,40,0,40,0.00%
Aden Contracting,Construction,Construction/Engineering,United Kingdom,Europe,200,0.00%,200,0.00%,,,,,200,,1,200,200,0,100.00%
Adevinta,Technology/Internet/E-commerce,Technology/Telecommunications,Norway,Europe,"28,106",0.04%,"22,103",0.03%,,,,,"22,103",,1,"22,103","22,103","6,003",78.64%
Adey Innovation Ltd,Water Treatment,Manufacturing/Engineering,United Kingdom,Europe,709,0.00%,709,0.00%,,,,,,709,0,709,709,0,100.00%
Adidas,Sporting goods,Retail,Germany,Europe,46,0.00%,46,0.00%,,,26,,20,,2,23,20,26,43.48%
Aditro,Logistics,Transportation/Logistics,Sweden,Europe,250,0.00%,250,0.00%,,,,,,250,0,250,250,0,100.00%
Adlibris AB,Online Bookstore,Retail,Sweden,Europe,"26,093",0.04%,"26,093",0.04%,,,,"26,093",,,1,"26,093",0,"26,093",0.00%
Admiral Insurance,Insurance,Financial Services,United Kingdom,Europe,"18,427",0.02%,"14,927",0.02%,,,,"8,669","6,258",,2,"7,464","6,258","12,169",33.96%
ADP Consulting,Consulting Services,Consulting Services,United States,North America,662,0.00%,662,0.00%,,,,,662,,1,662,662,0,100.00%
ADT,Security,Technology/Telecommunications,United States,North America,25,0.00%,25,0.00%,,25,,,,,1,25,0,25,0.00%
Advanced Engineering,Engineering,Construction/Engineering,United Kingdom,Europe,15,0.00%,15,0.00%,,,,15,,,1,15,0,15,0.00%
Advent International,Private Equity,Financial Services,United States,North America,"1,860",0.00%,"1,860",0.00%,,,,"1,360",500,,2,930,500,"1,360",26.88%
Advent Partners,Private Equity,Financial Services,Australia,Oceania,165,0.00%,165,0.00%,,,,,,165,0,165,165,0,100.00%
Adventure Travel World Summit,Travel and Tourism,Travel & Tourism,United States,North America,"1,124",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,124",0.00%
Adveq,Finance/Investment industry,Financial Services,Switzerland,Europe,"2,469",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"2,469",0.00%
Adyen,Financial Technology (FinTech),Technology/Telecommunications,Netherlands,Europe,"12,903",0.02%,"12,903",0.02%,,,,"12,903",,,1,"12,903",0,"12,903",0.00%
AEB SE,Software Company,Technology/Telecommunications,Germany,Europe,"3,342",0.00%,"1,710",0.00%,,,"1,606",104,,,2,855,0,"3,342",0.00%
AECID – Spanish Agency for International Development Cooperation,Government agency,Non-profit/Charity/Government/NGO,Spain,Europe,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
AECOM,Engineering/Construction/Infrastructure,Construction/Engineering,United States,North America,"1,194",0.00%,"1,194",0.00%,,,"1,194",,,,1,"1,194",0,"1,194",0.00%
AEL Mining Services Limited,Mining and Chemicals industry,Energy/Mining/Utilities,South Africa,Africa,"1,022,634",1.38%,"1,022,634",1.56%,,"906,380","116,254",,,,2,"511,317",0,"1,022,634",0.00%
aeoon,Textile and apparel industry,Apparel/Fashion,Austria,Europe,325,0.00%,325,0.00%,,,,325,,,1,325,0,325,0.00%
Aeorema,Telecommunications,Technology/Telecommunications,United Kingdom,Europe,199,0.00%,199,0.00%,,,,,199,,1,199,199,0,100.00%
Aeroplan,Travel and Loyalty Programs,Travel & Tourism,Canada,North America,"89,564",0.12%,"38,175",0.06%,,"12,042","7,252","11,881","7,000",,4,"9,544","7,000","82,564",7.82%
Aéroport du Golfe Saint-Tropez,Travel and Transportation,Travel & Tourism,France,Europe,385,0.00%,385,0.00%,,,,,,385,0,385,385,0,100.00%
Aeroport Nice Cote d'Azur,Travel and Transportation,Travel & Tourism,France,Europe,"1,190",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,190",0.00%
Aeroporti di Roma,Travel and Transportation,Travel & Tourism,Italy,Europe,"17,400",0.02%,"17,400",0.03%,,,,,,"17,400",0,"17,400","17,400",0,100.00%
Aéroports de la Côte d'Azur,Travel and Transportation,Travel & Tourism,France,Europe,50,0.00%,50,0.00%,,,,,,50,0,50,50,0,100.00%
Aéroports de Lyon,Travel and Transportation,Travel & Tourism,France,Europe,945,0.00%,945,0.00%,,,,,,945,0,945,945,0,100.00%
Aerzen,Construction,Construction/Engineering,Germany,Europe,186,0.00%,186,0.00%,,,,,,186,0,186,186,0,100.00%
Aerzener,Construction,Construction/Engineering,Germany,Europe,141,0.00%,141,0.00%,,,,,,141,0,141,141,0,100.00%
AES Engineering Ltd,Engineering,Manufacturing/Engineering,United Kingdom,Europe,"2,500",0.00%,"2,500",0.00%,,,,,,"2,500",0,"2,500","2,500",0,100.00%
Aesop,Beauty and skincare industry,Retail,Australia,Oceania,"10,707",0.01%,"10,707",0.02%,,,,,"10,707",,1,"10,707","10,707",0,100.00%
AESSEAL,Engineering/Manufacturing/Industrial Machinery,Construction/Engineering,Italy,Europe,750,0.00%,750,0.00%,,,,,750,,1,750,750,0,100.00%
Aether Industries,Chemicals,Manufacturing/Engineering,India,Asia,20,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,20,0.00%
AFD,Development Finance Institution,Financial Services,France,Europe,14,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,14,0.00%
AFME,Financial Services,Financial Services,United Kingdom,Europe,25,0.00%,25,0.00%,,,,25,,,1,25,0,25,0.00%
AFRAA,Aviation/Aerospace,Transportation/Logistics,Ethiopia,Africa,75,0.00%,75,0.00%,,,,,,75,0,75,75,0,100.00%
Africa Oil Corp,Energy/Resources,Energy/Mining/Utilities,Canada,North America,"65,693",0.09%,"65,693",0.10%,,,"39,293",,"26,400",,2,"32,847","26,400","39,293",40.19%
Africa Scenic Safaris,Travel and Tourism,Travel & Tourism,Kenya,Africa,117,0.00%,117,0.00%,,,,,,117,0,117,117,0,100.00%
AfricaLink,Information Technology,Technology/Telecommunications,Zambia,Africa,15,0.00%,15,0.00%,,,,,,15,0,15,15,0,100.00%
Afriquia Gaz,Energy,Energy/Mining/Utilities,Morocco,Africa,"10,354",0.01%,"10,354",0.02%,,,,,,"10,354",0,"10,354","10,354",0,100.00%
AFS Group,Financial Services,Financial Services,Netherlands,Europe,408,0.00%,408,0.00%,,,408,,,,1,408,0,408,0.00%
AG,Technology/Software,Technology/Telecommunications,Switzerland,Europe,370,0.00%,370,0.00%,,,,370,,,1,370,0,370,0.00%
AgDevCo,Agriculture/Agribusiness,Agriculture/Agribusiness/Resources,United Kingdom,Europe,168,0.00%,168,0.00%,,,,168,,,1,168,0,168,0.00%
AGE,Environmental Services,Environmental & Sustainability Services,United States,North America,600,0.00%,600,0.00%,,,,,,600,0,600,600,0,100.00%
Agence Erasmus+ France,Government/Non-profit/Development sector,Non-profit/Charity/Government/NGO,France,Europe,54,0.00%,54,0.00%,,,54,,,,1,54,0,54,0.00%
Agence Francaise de Developpement,Government/Non-profit/Development,Non-profit/Charity/Government/NGO,France,Europe,"164,839",0.22%,"5,000",0.01%,,"5,000",,,,,1,"5,000",0,"164,839",0.00%
Agilio,Technology,Technology/Telecommunications,United States,North America,201,0.00%,201,0.00%,,,,,201,,1,201,201,0,100.00%
Agio,Furniture industry,Retail,Italy,Europe,632,0.00%,632,0.00%,222,314,,96,,,3,211,0,632,0.00%
AGL Energy,Energy/utility sector,Energy/Mining/Utilities,Australia,Oceania,"682,700",0.92%,"601,394",0.92%,,"19,316","104,932","115,465","361,681",,4,"150,349","361,681","321,019",52.98%
Agnes Advokatbyrå,Legal Services,Consulting Services,Sweden,Europe,58,0.00%,58,0.00%,20,,25,13,,,3,19,0,58,0.00%
Agri-Synergie,Agriculture,Agriculture/Agribusiness/Resources,France,Europe,23,0.00%,23,0.00%,,,,23,,,1,23,0,23,0.00%
Agria Pet Insurance,Pet Insurance,Financial Services,Sweden,Europe,401,0.00%,401,0.00%,,,,,68,333,1,201,401,0,100.00%
Agriportance,Agriculture,Agriculture/Agribusiness/Resources,Netherlands,Europe,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
Agroinduchem,Agriculture,Agriculture/Agribusiness/Resources,Argentina,South America,91,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,91,0.00%
Agrosostenible,Agriculture,Agriculture/Agribusiness/Resources,Colombia,South America,58,0.00%,58,0.00%,,,,,58,,1,58,58,0,100.00%
AGS Airports Ltd,Airport Services,Transportation/Logistics,United Kingdom,Europe,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
AIA,Insurance,Financial Services,Singapore,Asia,177,0.00%,177,0.00%,,,,,,177,0,177,177,0,100.00%
AIFS,Travel and tourism industry,Travel & Tourism,United States,North America,"4,000",0.01%,"4,000",0.01%,,"2,000",,,"2,000",,2,"2,000","2,000","2,000",50.00%
AIIB,Finance,Financial Services,China,Asia,23,0.00%,23,0.00%,,,,,,23,0,23,23,0,100.00%
Aiimi,Technology/Information Technology,Technology/Telecommunications,United Kingdom,Europe,"1,056",0.00%,"1,056",0.00%,,,206,,,850,1,528,850,206,80.49%
aik,Sports,Entertainment/Media/Sports,Sweden,Europe,"43,000",0.06%,"43,000",0.07%,"23,000",,"20,000",,,,2,"21,500",0,"43,000",0.00%
AIR,Asset Management,Financial Services,United States,North America,30,0.00%,30,0.00%,,,,,30,,1,30,30,0,100.00%
Air 7 Asia,Airline,Transportation/Logistics,Singapore,Asia,87,0.00%,87,0.00%,,,,87,,,1,87,0,87,0.00%
Air France,Airline industry,Transportation/Logistics,France,Europe,"125,677",0.17%,"125,677",0.19%,,,"26,678","73,337","25,662",,3,"41,892","25,662","100,015",20.42%
Air Liquide,Industrial Gases,Energy/Mining/Utilities,France,Europe,"1,137",0.00%,"1,137",0.00%,,164,,,973,,2,569,973,164,85.58%
Air New Zealand,Airline industry,Transportation/Logistics,New Zealand,Oceania,"37,331",0.05%,"28,140",0.04%,,"2,500",,"22,174","3,466",,3,"9,380","3,466","33,865",9.28%
AirCarbon,Environmental Technology,Technology/Telecommunications,United States,North America,"1,000",0.00%,"1,000",0.00%,"1,000",,,,,,1,"1,000",0,"1,000",0.00%
Akademiska Hus,Real Estate,Real Estate,Sweden,Europe,"9,400",0.01%,"9,400",0.01%,,,,,,"9,400",0,"9,400","9,400",0,100.00%
Aker,Renewable energy,Energy/Mining/Utilities,Germany,Europe,23,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,23,0.00%
Aker Solutions,Oil & Gas - Equipment & Services,Energy/Mining/Utilities,Norway,Europe,824,0.00%,824,0.00%,,,,,,824,0,824,824,0,100.00%
AKO Capital LLP,Finance,Financial Services,United Kingdom,Europe,215,0.00%,215,0.00%,,,,,,215,0,215,215,0,100.00%
AKT II,Engineering and construction industry,Construction/Engineering,United Kingdom,Europe,300,0.00%,300,0.00%,,,,,,300,0,300,300,0,100.00%
Alan Reed Ltd,Auto Repair,Others,United Kingdom,Europe,264,0.00%,264,0.00%,,,,,,264,0,264,264,0,100.00%
Alba,Hospitality,Travel & Tourism,Albania,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
AlbaCore,Finance,Financial Services,United Kingdom,Europe,180,0.00%,180,0.00%,,,,,,180,0,180,180,0,100.00%
Albany SPC Services,Financial Services,Financial Services,United Kingdom,Europe,55,0.00%,55,0.00%,,,,,20,35,1,28,55,0,100.00%
Albizia Capital,Investment Management,Financial Services,Singapore,Asia,47,0.00%,47,0.00%,,,,,47,,1,47,47,0,100.00%
Alcaguete,Food and Beverage,Food and Beverage,Colombia,South America,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
Alcantara,Textiles and materials,Apparel/Fashion,Italy,Europe,"5,519",0.01%,"4,419",0.01%,,,"1,500",,"2,799",120,2,"1,473","2,919","2,600",52.89%
Alcimed,Consulting,Consulting Services,France,Europe,60,0.00%,60,0.00%,,,,,,60,0,60,60,0,100.00%
Alcon,Healthcare/Pharmaceuticals,Healthcare/Pharmaceuticals,Switzerland,Europe,256,0.00%,256,0.00%,,,,,256,,1,256,256,0,100.00%
Alcyon Aviation,Aviation,Transportation/Logistics,Germany,Europe,640,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,640,0.00%
Aledade,Healthcare/HealthTech,Healthcare/Pharmaceuticals,United States,North America,"2,583",0.00%,"2,583",0.00%,,,888,"1,695",,,2,"1,292",0,"2,583",0.00%
Aleris,Aluminum,Manufacturing/Engineering,United States,North America,63,0.00%,63,0.00%,,,63,,,,1,63,0,63,0.00%
Alfred Dunhill,Fashion and luxury goods,Apparel/Fashion,United Kingdom,Europe,"1,056",0.00%,"1,056",0.00%,,,,"1,056",,,1,"1,056",0,"1,056",0.00%
Align Strategy Ltd,Business consulting or management consulting,Consulting Services,United Kingdom,Europe,400,0.00%,400,0.00%,,,,400,,,1,400,0,400,0.00%
Aligne,Healthcare/Orthodontics,Healthcare/Pharmaceuticals,United States,North America,"1,992",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,992",0.00%
Alinea Consulting LLP,Consulting Services,Consulting Services,United Kingdom,Europe,167,0.00%,167,0.00%,,,,167,,,1,167,0,167,0.00%
Alinea International Ltd.,Consulting Services,Consulting Services,Canada,North America,41,0.00%,41,0.00%,,,,,41,,1,41,41,0,100.00%
Alive2Green,Environmental sustainability or green technology sector,Energy/Mining/Utilities,South Africa,Africa,128,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,128,0.00%
All In Maintenance Building & Development Ltd,Construction and Maintenance,Construction/Engineering,Canada,North America,47,0.00%,47,0.00%,,,,,,47,0,47,47,0,100.00%
All Seas Capital,Investment Management,Financial Services,United Kingdom,Europe,17,0.00%,17,0.00%,,,,17,,,1,17,0,17,0.00%
Allbirds,Fashion/Apparel,Apparel/Fashion,United States,North America,"16,638",0.02%,"16,638",0.03%,,,"16,638",,,,1,"16,638",0,"16,638",0.00%
Allbyn,Manufacturing,Manufacturing/Engineering,United Kingdom,Europe,15,0.00%,15,0.00%,,,,,15,,1,15,15,0,100.00%
Alliance Management,Financial Services,Financial Services,United States,North America,454,0.00%,454,0.00%,,,,,,454,0,454,454,0,100.00%
Alliance to Zero,Non-profit organization,Non-profit/Charity/Government/NGO,United States,North America,15,0.00%,15,0.00%,,,15,,,,1,15,0,15,0.00%
Allianz,Insurance and financial services,Financial Services,Germany,Europe,"1,217",0.00%,"1,162",0.00%,,"1,000",,162,,,2,581,0,"1,217",0.00%
Allmannwappner,Architecture,Construction/Engineering,Germany,Europe,178,0.00%,133,0.00%,,,,45,88,,2,67,88,90,49.44%
AlmaWin,Household cleaning products,Retail,Germany,Europe,104,0.00%,104,0.00%,,,,104,,,1,104,0,104,0.00%
Almeräng Fotografi,Photography,Entertainment/Media/Sports,Sweden,Europe,14,0.00%,14,0.00%,,14,,,,,1,14,0,14,0.00%
Alpensped,Logistics and transportation,Transportation/Logistics,Germany,Europe,268,0.00%,268,0.00%,,,,,268,,1,268,268,0,100.00%
Alpensped GmbH,Logistics/Transportation,Transportation/Logistics,Germany,Europe,"1,800",0.00%,"1,800",0.00%,,,,,"1,800",,1,"1,800","1,800",0,100.00%
Alpha,Technology/Software,Technology/Telecommunications,United States,North America,216,0.00%,216,0.00%,,,216,,,,1,216,0,216,0.00%
Alpha Investment,Financial Services,Financial Services,United Kingdom,Europe,19,0.00%,19,0.00%,,19,,,,,1,19,0,19,0.00%
Alpha Real Trust,Real Estate,Real Estate,United Kingdom,Europe,62,0.00%,62,0.00%,,,,,,62,0,62,62,0,100.00%
Alpha Vet International,Veterinary Services,Healthcare/Pharmaceuticals,United Kingdom,Europe,40,0.00%,40,0.00%,,,40,,,,1,40,0,40,0.00%
Alpine,Automotive or outdoor recreation industry,Transportation/Logistics,France,Europe,"1,234",0.00%,"1,234",0.00%,,,,554,680,,2,617,680,554,55.11%
Alpkit,Outdoor and adventure sports industry,Entertainment/Media/Sports,United Kingdom,Europe,100,0.00%,100,0.00%,,,,,100,,1,100,100,0,100.00%
ALPLA,Manufacturing/Plastics industry,Agriculture/Agribusiness/Resources,Austria,Europe,283,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,283,0.00%
ALS Limited,Healthcare/Pharmaceuticals/Laboratory Services,Healthcare/Pharmaceuticals,Australia,Oceania,"36,161",0.05%,"36,161",0.06%,,,,"12,500","12,500","11,161",2,"12,054","23,661","12,500",65.43%
Altas Corporation,Investment Management,Financial Services,Canada,North America,863,0.00%,863,0.00%,,,,,,863,0,863,863,0,100.00%
Alteco,Construction,Construction/Engineering,Italy,Europe,31,0.00%,31,0.00%,,,31,,,,1,31,0,31,0.00%
Altergaz,Gas and Electricity,Energy/Mining/Utilities,France,Europe,42,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,42,0.00%
Alverbäcks Blommor AB,Florist or gardening industry,Retail,Sweden,Europe,"1,746",0.00%,"1,746",0.00%,"1,309",,437,,,,2,873,0,"1,746",0.00%
Amaury Sport Organisation,Sports and events industry,Entertainment/Media/Sports,France,Europe,"66,384",0.09%,"51,884",0.08%,"13,850","14,374","23,660",,,,3,"17,295",0,"66,384",0.00%
Amazon,Technology,Technology/Telecommunications,United States,North America,"6,546",0.01%,"6,546",0.01%,,,,25,,"6,521",1,"3,273","6,521",25,99.62%
