Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
Campo Coprint BV,Printing and publishing industry,Entertainment/Media/Sports,Netherlands,Europe,183,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,183,0.00%
Campus Kristiania,Education,Non-profit/Charity/Government/NGO,Norway,Europe,685,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,685,0.00%
Canagan,Pet food industry,Food and Beverage,United Kingdom,Europe,994,0.00%,994,0.00%,,,500,200,294,,3,331,294,700,29.58%
CANAL+,Media/Entertainment,Entertainment/Media/Sports,France,Europe,"16,435",0.02%,"13,435",0.02%,,,,"13,435",,,1,"13,435",0,"16,435",0.00%
Canary,Marketing,Advertising/Marketing/PR,Spain,Europe,"1,664",0.00%,"1,664",0.00%,,,,,,"1,664",0,"1,664","1,664",0,100.00%
Candia,Food and Beverage,Food and Beverage,France,Europe,342,0.00%,342,0.00%,,,,342,,,1,342,0,342,0.00%
Canlead,Technology,Technology/Telecommunications,Canada,North America,"2,500",0.00%,"2,500",0.00%,,,,,,"2,500",0,"2,500","2,500",0,100.00%
Cannes,Entertainment or Film Industry,Entertainment/Media/Sports,France,Europe,"45,550",0.06%,"45,550",0.07%,,,,"25,550",,"20,000",1,"22,775","20,000","25,550",43.91%
Canon,Technology/Electronics,Technology/Telecommunications,Japan,Asia,"67,954",0.09%,"61,890",0.09%,"6,264","7,872","14,668","5,326","15,579","12,181",5,"10,315","27,760","40,194",40.85%
Canopy,Fashion/Apparel,Apparel/Fashion,Canada,North America,389,0.00%,389,0.00%,,,,,,389,0,389,389,0,100.00%
Canteen,Food and Beverage Services,Food and Beverage,Singapore,Asia,"3,338",0.00%,"3,338",0.01%,,,,,,"3,338",0,"3,338","3,338",0,100.00%
Cantler Family,Hospitality Industry,Travel & Tourism,United States,North America,34,0.00%,34,0.00%,,,,,,34,0,34,34,0,100.00%
Cantor Fitzgerald,Finance/Investment Banking,Financial Services,United States,North America,590,0.00%,590,0.00%,,,200,,,390,1,295,390,200,66.10%
Canyonauten,Outdoor Recreation,Others,Germany,Europe,19,0.00%,19,0.00%,,,19,,,,1,19,0,19,0.00%
Capel,Automotive,Transportation/Logistics,Australia,Oceania,59,0.00%,59,0.00%,,28,,,,31,1,30,31,28,52.54%
Capgemini,Technology/Consulting,Technology/Telecommunications,France,Europe,"12,715",0.02%,"6,415",0.01%,,,,"6,415",,,1,"6,415",0,"12,715",0.00%
Capital & Counties Properties,Real Estate,Real Estate,United Kingdom,Europe,295,0.00%,295,0.00%,,,,,,295,0,295,295,0,100.00%
Capital Group,Finance & Investment,Financial Services,United States,North America,"2,911",0.00%,"2,911",0.00%,,,,,"2,911",,1,"2,911","2,911",0,100.00%
Capital On Tap,Financial Services,Financial Services,United Kingdom,Europe,"1,000",0.00%,"1,000",0.00%,,,"1,000",,,,1,"1,000",0,"1,000",0.00%
Capital One,Financial Services,Financial Services,United States,North America,40,0.00%,40,0.00%,,,,30,10,,2,20,10,30,25.00%
Caplor,Investment Management,Financial Services,United Kingdom,Europe,62,0.00%,62,0.00%,41,,,21,,,2,31,0,62,0.00%
Capri Consulting,Management Consulting,Consulting Services,United States,North America,25,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,25,0.00%
Capvis AG,Finance & Investment,Financial Services,Switzerland,Europe,266,0.00%,266,0.00%,,110,48,108,,,3,89,0,266,0.00%
Carbolibrium,Dietary Supplements,Healthcare/Pharmaceuticals,United Kingdom,Europe,94,0.00%,94,0.00%,94,,,,,,1,94,0,94,0.00%
Carbon,Energy and Manufacturing,Energy/Mining/Utilities,United States,North America,"1,949",0.00%,"1,949",0.00%,,,,,131,"1,818",1,975,"1,949",0,100.00%
Carbon Clear Limited,Environmental Services/Carbon Offsetting,Energy/Mining/Utilities,United Kingdom,Europe,200,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,200,0.00%
Carbon Credit Cart,Financial Services,Financial Services,United States,North America,177,0.00%,177,0.00%,,,96,81,,,2,89,0,177,0.00%
Carbon Footprint,Environmental Sustainability/Carbon Offsetting,Agriculture/Agribusiness/Resources,United Kingdom,Europe,"13,167",0.02%,"13,167",0.02%,"2,394",,"2,984","1,571","1,257","4,961",4,"2,633","6,218","6,949",47.22%
Carbon Forward,Environmental Consulting/Carbon Offsetting,Consulting Services,United Kingdom,Europe,160,0.00%,160,0.00%,,,,,160,,1,160,160,0,100.00%
Carbon Forward London,Financial Services,Financial Services,United Kingdom,Europe,124,0.00%,124,0.00%,,,,,,124,0,124,124,0,100.00%
Carbon Green Ltd.,Environmental/ Renewable Energy sector,Energy/Mining/Utilities,United Kingdom,Europe,"1,106",0.00%,"1,106",0.00%,,,"1,106",,,,1,"1,106",0,"1,106",0.00%
Carbon Habitat,"Sustainability, Climate Change Solutions",Environmental & Sustainability Services,United States,North America,175,0.00%,75,0.00%,75,,,,,,1,75,0,175,0.00%
Carbon Jacked,Dietary Supplements,Healthcare/Pharmaceuticals,Canada,North America,"1,549",0.00%,"1,549",0.00%,,25,50,170,,"1,304",3,387,"1,304",245,84.18%
